,x0,x1
Afghanistan,-14.396807181875111,2.42587036140854
Albania,-5.628252782294658,8.565667062756203
Algeria,9.402342369113818,2.338323238144722
American Samoa,12.422882368209024,-6.392993587598315
Angola,4.441021989440978,3.155450939141659
Anguilla,15.648020932489006,-5.342537966385925
Antigua and Barbuda,12.561231272460631,-8.951028017654446
Argentina,6.459513163885414,-9.064501382179298
Armenia,-8.08125687311071,7.624326321427299
Aruba,9.086678548882404,-8.635664967327477
Australia,-0.6210834702987287,-6.301477668957097
Austria,-1.3772402067304401,6.853652032460404
Azerbaijan,-6.2547237731776,6.100067963397827
Bahamas,13.854416236750346,-8.283746093632459
Bahrain,-15.075731588434877,3.3770516407025992
Bangladesh,-8.121662277358547,-4.908382163420315
Barbados,8.789704428409904,-3.0621817724326243
Belarus,1.4764737792822147,9.038152447118936
Belgium,1.896022594195995,4.532840529285921
Belize,11.094266264982533,-6.879342291293592
Benin,6.452519428468971,6.292173690438272
Bermuda,10.625541972818223,-4.1458477358606585
Bhutan,-9.692341956738233,-2.517066371803417
Bolivia,14.45388041545544,-7.836763313744704
Bosnia and Herzegovina,-1.9710362273158732,8.44895736779233
Botswana,-2.0707437632605448,-0.390066664932628
Brazil,10.544617549126444,1.581493644522558
British Virgin Islands,15.534304922902312,-6.3350965601712
Brunei,-13.295172637572675,-6.003418425027579
Bulgaria,-7.159956048554954,7.656611829412736
Burkina Faso,1.0123758058909031,4.9207631076216956
Burma,-11.034858319132992,-5.379589329277778
Burundi,-9.308284988880972,3.21817464411893
Cambodia,-9.665443959114395,-7.557274307383853
Cameroon,-2.1731970664532865,6.988391633599715
Canada,9.125319717162588,-5.678815519279059
Cape Verde,9.779364796096882,3.5993119614774374
Cayman Islands,6.2531959688328245,-6.455448069865698
Central African Republic,-4.171093886390055,7.43924820295236
Chad,-2.51325894994077,9.14368020550183
Chile,8.412047516564098,-7.193582715924859
China,-10.026737882400347,-6.631250027930188
Christmas Island,1.7933266585510128,-6.334554342804522
Cocos (Keeling) Islands,1.4042538198179175,-5.59906618898811
Colombia,12.722125592175521,-6.921789895717293
Comoros,-6.186255415492364,1.1985581693534715
Congo (Brazzaville),0.7994994835509767,8.003972305280762
Congo (Kinshasa),-0.7513118884302914,8.074850959452865
Cook Islands,10.473544043000993,-9.37220266536843
Costa Rica,10.679589201668547,-5.98171087062598
Cote d'Ivoire,4.705348543281225,6.899612733926816
Croatia,-1.8981140739327045,6.957660639229875
Cuba,5.305552020867999,0.3956629375234443
Cyprus,-7.715638371409716,2.744995221526848
Czech Republic,-4.265087258061716,6.529104291435277
Denmark,-1.4215381316053217,5.501214814037285
Djibouti,-16.81823664956577,3.92748949415245
Dominica,9.01156530243918,-8.87881409428023
Dominican Republic,11.588612384082065,-8.584647499550094
East Timor,-13.67422893658738,-5.038533662650807
Ecuador,11.134963708290776,-5.620759127095477
Egypt,-9.557824764980541,5.605009834313622
El Salvador,8.278003188052159,-5.344319268308801
Equatorial Guinea,6.812950436339453,3.8651545354524193
Eritrea,-12.527833205448488,3.3265615382509823
Estonia,-5.256749893553253,1.9706676841152928
Ethiopia,-6.885164895068023,4.905412226731008
Faroe Islands,4.4057924774719375,8.147244050304765
Fiji,12.952215566852106,-7.317312004067077
Finland,-3.4417487360245813,2.8928661485536855
France,4.802837982554093,6.051256613062781
French Guiana,1.0889352457633918,6.03744232903992
French Polynesia,8.608184149960262,-6.582524960880447
Gabon,3.8684814117841975,8.561015309243471
Gambia,8.759072331347953,2.573364565238877
Georgia,-6.3032958697255905,5.808714769560705
Germany,-5.6074051939168035,6.878340839392006
Ghana,7.485962852166801,1.7115290385125776
Gibraltar,1.2172134030463586,1.8523256791310396
Greece,2.1113309918274976,7.175847964594238
Greenland,-1.409245587469932,5.199781092113582
Grenada,8.791209429704757,-4.844285469771943
Guadeloupe,9.988183925784778,-8.795536107665614
Guam,-0.753909835907375,-9.135608239138765
Guatemala,6.779251529089743,-7.861253150477404
Guernsey,-2.4682853346918825,2.1398589516199173
Guinea,2.788896416622614,7.64196818856554
Guinea-Bissau,7.417870544778525,5.343016060655326
Guyana,12.57752545181721,-4.679864889980698
Haiti,10.056137014552478,-8.222963998321257
Honduras,10.194598733893175,-6.7868838574210795
Hong Kong,-8.99379332542625,-7.705679200643527
Hungary,2.1152047099396936,7.021820512988799
Iceland,-2.64276267114367,0.6517340767791864
India,-9.365046980832542,-3.1182656721349056
Indonesia,-13.440314450380011,-4.833616989462539
Iran,-15.652400718288071,2.9610582335472415
Iraq,-12.753235353125309,5.013044731483335
Ireland,2.03900591830413,2.404343153218031
Isle of Man,1.5058415072340128,3.192267498339072
Israel,-9.466303723984637,5.610426821553412
Italy,5.438240968096854,5.69374582809055
Jamaica,10.774361877572634,-8.075434668235427
Japan,-6.972890228385674,-7.71723833191437
