location,date,num_sequences_total
Sri Lanka,2021-04-05,12
Sri Lanka,2021-04-19,8
Sri Lanka,2021-05-03,66
Sri Lanka,2021-05-17,44
Sri Lanka,2021-05-31,43
Sri Lanka,2021-06-14,61
Sri Lanka,2021-06-28,142
Sri Lanka,2021-07-12,71
Sri Lanka,2021-07-26,82
Sri Lanka,2021-08-09,118
Suriname,2021-04-05,57
Suriname,2021-04-19,49
Suriname,2021-05-03,23
Suriname,2021-05-17,43
Suriname,2021-05-31,53
Suriname,2021-06-14,37
Suriname,2021-06-28,50
Suriname,2021-07-12,39
Suriname,2021-07-26,35
Suriname,2021-08-09,50
Sweden,2021-04-05,10365
Sweden,2021-04-19,7416
Sweden,2021-05-03,6766
Sweden,2021-05-17,7046
Sweden,2021-05-31,5268
Sweden,2021-06-14,3876
Sweden,2021-06-28,3329
Sweden,2021-07-12,2229
Sweden,2021-07-26,3358
Sweden,2021-08-09,4585
Switzerland,2021-04-05,2521
Switzerland,2021-04-19,3200
Switzerland,2021-05-03,4034
Switzerland,2021-05-17,2882
Switzerland,2021-05-31,2210
Switzerland,2021-06-14,1108
Switzerland,2021-06-28,479
Switzerland,2021-07-12,963
Switzerland,2021-07-26,2932
Switzerland,2021-08-09,4623
Thailand,2021-04-05,29
Thailand,2021-04-19,129
Thailand,2021-05-03,99
Thailand,2021-05-17,589
Thailand,2021-05-31,613
Thailand,2021-06-14,274
Thailand,2021-06-28,391
Thailand,2021-07-12,208
Thailand,2021-07-26,590
Thailand,2021-08-09,298
Togo,2021-04-05,8
Togo,2021-04-19,14
Togo,2021-05-03,8
Togo,2021-06-14,25
Togo,2021-06-28,27
Togo,2021-07-12,24
Togo,2021-07-26,24
Togo,2021-08-09,44
Trinidad and Tobago,2021-04-05,8
Trinidad and Tobago,2021-04-19,70
Trinidad and Tobago,2021-05-03,197
Trinidad and Tobago,2021-05-17,142
Trinidad and Tobago,2021-05-31,28
Trinidad and Tobago,2021-06-14,23
Trinidad and Tobago,2021-06-28,11
Trinidad and Tobago,2021-07-12,8
Trinidad and Tobago,2021-07-26,12
Trinidad and Tobago,2021-08-09,50
Turkey,2021-04-05,1375
Turkey,2021-04-19,21
Turkey,2021-05-03,144
Turkey,2021-05-17,292
Turkey,2021-05-31,290
Turkey,2021-06-14,270
Turkey,2021-06-28,1143
Turkey,2021-07-12,4053
Turkey,2021-07-26,1260
Turkey,2021-08-09,12442
Uganda,2021-04-05,26
Uganda,2021-04-19,17
Uganda,2021-05-03,11
Uganda,2021-05-17,17
Uganda,2021-05-31,21
Uganda,2021-06-14,172
Uganda,2021-06-28,114
Uganda,2021-07-12,12
Uganda,2021-07-26,15
Uganda,2021-08-09,17
Ukraine,2021-04-05,2
Ukraine,2021-05-17,4
Ukraine,2021-05-31,21
Ukraine,2021-06-14,3
Ukraine,2021-06-28,43
Ukraine,2021-07-12,33
Ukraine,2021-07-26,32
United Arab Emirates,2021-05-03,5
United Arab Emirates,2021-06-14,2
United Arab Emirates,2021-06-28,20
United Kingdom,2021-04-05,29673
United Kingdom,2021-04-19,15908
United Kingdom,2021-05-03,14275
United Kingdom,2021-05-17,14374
United Kingdom,2021-05-31,23824
United Kingdom,2021-06-14,37317
United Kingdom,2021-06-28,43442
United Kingdom,2021-07-12,56140
United Kingdom,2021-07-26,57203
United Kingdom,2021-08-09,64528
United States,2021-04-05,68922
United States,2021-04-19,80542
United States,2021-05-03,68541
United States,2021-05-17,51424
United States,2021-05-31,28913
United States,2021-06-14,20283
United States,2021-06-28,22291
United States,2021-07-12,37254
United States,2021-07-26,79713
United States,2021-08-09,146170
Uruguay,2021-04-05,70
Uruguay,2021-04-19,134
Uruguay,2021-05-03,21
Vietnam,2021-05-03,15
Vietnam,2021-05-17,58
Vietnam,2021-05-31,26
Vietnam,2021-06-14,14
Vietnam,2021-06-28,6
Vietnam,2021-07-26,67
Vietnam,2021-08-09,106
Zambia,2021-04-05,9
Zambia,2021-04-19,2
Zambia,2021-05-03,18
Zambia,2021-05-31,87
Zambia,2021-06-14,94
Zambia,2021-06-28,22
Zambia,2021-07-12,70
Zambia,2021-07-26,41
Zambia,2021-08-09,17
Zimbabwe,2021-06-28,3
Zimbabwe,2021-07-12,42
Zimbabwe,2021-07-26,35
Zimbabwe,2021-08-09,18
